network,network_name
AK,Alaska Geophysical Network (AK)
AT,National Tsunami Warning Center Alaska Seismic Network (AT)
AV,Alaska Volcano Observatory (AV)
CI,Southern California Seismic Network (SCSN) (CI)
HV,Hawaiian Volcano Observatory Network (HV)
MB,Montana Regional Seismic Network (MB)
NC,USGS Northern California Seismic Network (NC)
NN,Nevada Seismic Network (NN)
NM,Cooperative New Madrid Seismic Network (NM)
OK,Oklahoma Seismic Network (OK)
PGC,Uknown
PR,Puerto Rico Seismic Network & Puerto Rico Strong Motion Program (PR)
SE,Southeastern Appalachian Cooperative Seismic Network (SE)
TX,Texas Seismological Network (TX)
UU,University of Utah Regional Seismic Network (UU)
US,United States National Seismic Network (US)
UW,Pacific Northwest Seismic Network - University of Washington (UW)
ZAMG,Zentralanstalt für Meterologie und Geodynamik (ZAMG)
